ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,
1,G20 Summit 2017 held at—,Berlin,Paris,London,Hamburg,4,3,-1,n,
2,The unit of electrical resistance of a conductor is—,farad,volt,ampere,ohm,4,3,-1,y,
3,Which organ of the human body does the Alzheimer’s disease affect?,Ear,Brain,Eye,Stomach,2,3,-1,n,
4,Anthophobia is fear of which of the following?,Boss,Fire,Flowers,Dogs,3,3,-1,y,
5,Which of the following is the largest air pollutant?,Carbon dioxide,Carbon monoxide,Sulphur dioxide,Hydrocarbons,2,3,-1,y,
6,The Atomic Nucleus was discovered by—,Rutherford,Dalton,Einstein,Thompson,1,3,-1,y,
7,Headquarters of UNO are situated at,Paris,Geneva,Haque (Netherlands),"New York, USA",4,3,-1,y,
8,For galvanizing iron which of the following metals is used?,Lead,Aluminium,Copper,Zinc,4,3,-1,y,
9,Fathometer is used to measure,Rainfall,Ocean depth,Sound intensity,Earthquakes,2,3,-1,n,
10,Capital of Maharashtra,Nagpur,Pune,Mumbai,Nashik,3,3,-1,n,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
